"","binomial","iucn.no","family","country","rule_of_law","deathrate","hdi","gdp","geog.range","fr.in.country","num.countries"
"354","propithecus perrieri",5,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,62679045.0799746,1,0
"355","propithecus tattersalli",5,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,1732153504.67238,1,0
"356","propithecus verreauxi",4,"indriidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,68150591593.5931,1,0
"357","pygathrix cinerea",5,"cercopithecidae","vietnam",-0.27,1.77664583141801,0.666,24.8872706958981,24824854501.975,1,0
"358","pygathrix nemaeus",4,"cercopithecidae","laos",-0.563730489502671,1.93556654489071,0.610857423042236,24.0719636416455,94413774995.8221,0.506878400538599,1.09861228866811
"359","pygathrix nigripes",4,"cercopithecidae","cambodia",-0.393045364910998,1.83270035673668,0.644987586173844,24.6965271076431,95620969569.1291,0.189296349292285,1.09861228866811
"360","rhinopithecus avunculus",5,"cercopithecidae","vietnam",-0.27,1.77664583141801,0.666,24.8872706958981,10258967501.8132,0.00123211338943206,0
"361","rhinopithecus bieti",4,"cercopithecidae","china",-0.34,2.01623546577604,0.728,28.2135175312323,29770124007.1211,1,0
"362","rhinopithecus brelichi",4,"cercopithecidae","china",-0.34,2.01623546577604,0.728,28.2135175312323,504856720.262838,1,0
"363","rhinopithecus roxellana",4,"cercopithecidae","china",-0.34,2.01623546577604,0.728,28.2135175312323,311106232899.845,0.221153305826557,0
"364","rhinopithecus strykeri",5,"cercopithecidae","myanmar",-1.22,2.08069076108027,0.536,24.2593077738791,204262646.038295,1,0
"365","rungwecebus kipunji",5,"cercopithecidae","tanzania",-0.43,2.08069076108027,0.521,23.6277003722105,71517371.1351431,0.306958179826068,0
"366","saguinus bicolor",4,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,10196893691.4158,1,0
"367","saguinus fuscicollis",1,"callitrichidae","peru",-0.419697112788005,1.83590780785867,0.736830792784533,26.527223569304,1736448963002.69,0.0834121367063991,1.6094379124341
"368","saguinus geoffroyi",1,"callitrichidae","colombia",-0.232881520065751,1.64218927479538,0.744353204189763,24.7897853791621,75721167272.2333,0.594113263503952,0.693147180559945
"369","saguinus imperator",1,"callitrichidae","peru",-0.357260607953513,1.8562563609441,0.742874093279772,26.7190796094083,235805368026.223,0.0324287455245571,1.09861228866811
"370","saguinus inustus",1,"callitrichidae","colombia",-0.248691213194788,1.79626639616425,0.738009623635114,26.6371310654065,383314535808.523,0.339634624117331,1.09861228866811
"371","saguinus labiatus",1,"callitrichidae","brazil",-0.296212417261123,1.88582170569481,0.744862220965891,27.0522039105592,288313386047.676,0.317423763369518,1.09861228866811
